Initial packet size,Initial TTL,Window size,DF flag,port,Max Segment Size,Window Scalling Value,sackOK,Target
136,54,128,10497,1,49205,0,0,0,windows
137,66,128,32,1,49207,1460,8,1,windows
138,66,128,32,1,49208,1460,8,1,windows
139,66,249,15525,0,49207,1410,12,1,windows
140,54,128,2,1,49207,0,0,0,windows
141,243,128,2,1,49207,0,0,0,windows
142,66,128,32,1,49209,1460,8,1,windows
143,66,128,32,1,49210,1460,8,1,windows
144,66,56,15525,0,49208,1410,12,1,windows
145,54,128,2,1,49208,0,0,0,windows
146,243,128,2,1,49208,0,0,0,windows
147,66,56,15525,1,49210,1410,8,1,windows
148,54,128,2,1,49210,0,0,0,windows
149,54,249,2816,0,49207,0,0,0,windows
150,1464,249,2816,0,49207,0,0,0,windows
151,237,128,2,1,49210,0,0,0,windows
152,1330,249,2816,0,49207,0,0,0,windows
153,54,128,64257,1,49207,0,0,0,windows
154,66,54,15525,1,49209,1410,8,1,windows
155,54,128,2,1,49209,0,0,0,windows
156,237,128,2,1,49209,0,0,0,windows
157,625,249,2816,0,49207,0,0,0,windows
158,54,56,42240,1,49210,0,0,0,windows
159,54,56,2816,0,49208,0,0,0,windows
160,1464,56,42496,1,49210,0,0,0,windows
161,627,56,42496,1,49210,0,0,0,windows
162,1464,56,2816,0,49208,0,0,0,windows
163,1330,56,2816,0,49208,0,0,0,windows
164,54,54,42240,1,49209,0,0,0,windows
165,1464,54,42496,1,49209,0,0,0,windows
166,627,54,42496,1,49209,0,0,0,windows
167,54,128,64769,1,49209,0,0,0,windows
168,625,56,2816,0,49208,0,0,0,windows
169,54,128,64769,1,49208,0,0,0,windows
170,220,128,2,1,49207,0,0,0,windows
171,220,128,2,1,49210,0,0,0,windows
172,220,128,64769,1,49208,0,0,0,windows
173,220,128,64769,1,49209,0,0,0,windows
174,145,249,2816,0,49207,0,0,0,windows
175,54,128,65281,1,49207,0,0,0,windows
176,404,128,65025,1,49206,0,0,0,windows
177,145,56,42496,1,49210,0,0,0,windows
178,54,128,65281,1,49210,0,0,0,windows
179,145,54,42496,1,49209,0,0,0,windows
