Initial packet size,Initial TTL,Window size,DF flag,Max Segment Size,Window Scalling Value,sackOK,Target,Target_num
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,16,65535,1,0,0,0,android,61
54,47,1281,0,0,0,0,windows,5
54,47,1281,0,0,0,0,windows,5
54,47,1281,0,0,0,0,windows,5
54,47,1281,0,0,0,0,windows,5
54,47,1281,0,0,0,0,windows,5
54,48,2685,1,0,0,0,windows,1
54,48,23676,1,0,0,0,windows,1
54,48,57470,1,0,0,0,windows,1
54,48,57480,1,0,0,0,windows,1
54,49,2685,1,0,0,0,windows,1
54,49,16501,1,0,0,0,windows,4
54,49,16501,1,0,0,0,windows,4
54,49,16501,1,0,0,0,windows,4
54,49,16501,1,0,0,0,windows,4
54,49,23676,1,0,0,0,windows,1
54,49,30845,1,0,0,0,windows,1
54,49,57470,1,0,0,0,windows,1
54,50,28793,1,0,0,0,windows,1
54,51,0,1,0,0,0,windows,1
54,51,1146,1,0,0,0,windows,1
54,51,16501,1,0,0,0,windows,1
54,51,28793,1,0,0,0,windows,1
54,51,41085,1,0,0,0,windows,1
54,52,16501,1,0,0,0,windows,2
54,52,16501,1,0,0,0,windows,2
54,53,20643,1,0,0,0,windows,1
54,53,28793,1,0,0,0,windows,2
54,53,28793,1,0,0,0,windows,2
54,53,55431,1,0,0,0,windows,1
54,54,16501,1,0,0,0,windows,2
54,54,16501,1,0,0,0,windows,2
54,54,20643,0,0,0,0,windows,2
54,54,20643,0,0,0,0,windows,2
54,54,28793,1,0,0,0,windows,2
54,54,28793,1,0,0,0,windows,2
54,54,29440,1,0,0,0,windows,1
54,54,32256,1,0,0,0,windows,1
54,54,34048,1,0,0,0,windows,1
54,54,36096,1,0,0,0,windows,1
54,54,41728,1,0,0,0,windows,2
54,54,41728,1,0,0,0,windows,2
54,54,41984,1,0,0,0,windows,2
54,54,41984,1,0,0,0,windows,2
54,54,42240,0,0,0,0,windows,1
54,54,42240,1,0,0,0,windows,10
54,54,42240,1,0,0,0,windows,10
54,54,42240,1,0,0,0,windows,10
54,54,42240,1,0,0,0,windows,10
54,54,42240,1,0,0,0,windows,10
54,54,42240,1,0,0,0,windows,10
54,54,42240,1,0,0,0,windows,10
54,54,42240,1,0,0,0,windows,10
54,54,42240,1,0,0,0,windows,10
54,54,42240,1,0,0,0,windows,10
54,54,42496,1,0,0,0,windows,6
54,54,42496,1,0,0,0,windows,6
54,54,42496,1,0,0,0,windows,6
54,54,42496,1,0,0,0,windows,6
54,54,42496,1,0,0,0,windows,6
54,54,42496,1,0,0,0,windows,6
54,55,1793,1,0,0,0,windows,1
54,55,2170,1,0,0,0,windows,1
54,55,2816,0,0,0,0,windows,2
54,55,2816,0,0,0,0,windows,2
54,55,4514,1,0,0,0,windows,1
54,55,7425,1,0,0,0,windows,1
54,55,12430,1,0,0,0,windows,1
54,55,16501,1,0,0,0,windows,1
54,55,20643,0,0,0,0,windows,1
54,55,20643,1,0,0,0,windows,1
54,55,28793,1,0,0,0,windows,9
54,55,28793,1,0,0,0,windows,9
54,55,28793,1,0,0,0,windows,9
54,55,28793,1,0,0,0,windows,9
